Assets under management,Brokers,City,Cost ratio,Date,Educational qualifications,Gender,ID,Insurer,People,Policy tenuer,Premium,Premium 1,Profitability,Sahreholding pattern,Stakeholder,Age,Calculation1,Calculation2,Value Created,Zero
Debt,Rushi,Pune,Total cost ratio,15-01-2014,Graduate,Male,3021.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,84415.714285714,84415.714285714,0
Debt,Krishna,Pune,Total cost ratio,16-01-2014,Graduate,Male,3023.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,89332.285714286,89332.285714286,0
Debt,Gita,Pune,Total cost ratio,17-01-2014,Graduate,Male,3024.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,94248.857142857,94248.857142857,0
Debt,Puja,Pune,Total cost ratio,18-01-2014,Graduate,Male,3026.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,99165.428571429,99165.428571429,0
Debt,Sheela,Pune,Total cost ratio,19-01-2014,Graduate,Male,3027.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,104082,104082,0
Debt,Rita,Pune,Total cost ratio,20-01-2014,Graduate,Male,3029.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,108998.571428571,108998.571428571,0
Debt,Mina,Pune,Total cost ratio,21-01-2014,Graduate,Male,3030.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,113915.142857143,113915.142857143,0
Debt,Rushi,Pune,Total cost ratio,22-01-2014,Graduate,Male,3032.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,118831.714285714,118831.714285714,0
Debt,Krishna,Pune,Total cost ratio,23-01-2014,Graduate,Male,3033.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,123748.285714285,123748.285714285,0
Debt,Gita,Pune,Total cost ratio,24-01-2014,Graduate,Male,3035.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,128664.857142857,128664.857142857,0
Debt,Rushi,Pune,Total cost ratio,25-01-2014,Graduate,Male,3036.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,133581.428571428,133581.428571428,0
Debt,Krishna,Pune,Total cost ratio,26-01-2014,Graduate,Male,3038.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,138498,138498,0
Debt,Gita,Pune,Total cost ratio,27-01-2014,Graduate,Male,3039.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,143414.571428571,143414.571428571,0
Debt,Puja,Pune,Total cost ratio,28-01-2014,Graduate,Male,3041.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,148331.142857143,148331.142857143,0
Debt,Sheela,Pune,Total cost ratio,29-01-2014,Graduate,Male,3042.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,153247.714285714,153247.714285714,0
Debt,Rita,Pune,Total cost ratio,30-01-2014,Graduate,Male,3044.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,158164.285714285,158164.285714285,0
Debt,Mina,Pune,Total cost ratio,31-01-2014,Graduate,Male,3045.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,163080.857142857,163080.857142857,0
Debt,Rushi,Pune,Total cost ratio,01-02-2014,Graduate,Male,3047.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,167997.428571428,167997.428571428,0
Debt,Krishna,Pune,Total cost ratio,02-02-2014,Graduate,Male,3048.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,172914,172914,0
Debt,Gita,Pune,Total cost ratio,03-02-2014,Graduate,Male,3050.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,177830.571428571,177830.571428571,0
Debt,Puja,Pune,Total cost ratio,04-02-2014,Graduate,Male,3051.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,182747.142857143,182747.142857143,0
Debt,Sheela,Pune,Total cost ratio,05-02-2014,Graduate,Male,3053.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,187663.714285714,187663.714285714,0
Debt,Rita,Pune,Total cost ratio,06-02-2014,Graduate,Male,3054.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,192580.285714285,192580.285714285,0
Debt,Mina,Pune,Total cost ratio,07-02-2014,Graduate,Male,3056.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,197496.857142857,197496.857142857,0
Debt,Rushi,Pune,Total cost ratio,08-02-2014,Graduate,Male,3057.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,202413.428571428,202413.428571428,0
Debt,Krishna,Pune,Total cost ratio,09-02-2014,Graduate,Male,3059.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,207330,207330,0
Debt,Gita,Pune,Total cost ratio,10-02-2014,Graduate,Male,3060.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,212246.571428571,212246.571428571,0
Debt,Puja,Pune,Total cost ratio,11-02-2014,Graduate,Male,3062.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,217163.142857143,217163.142857143,0
Debt,Sheela,Pune,Total cost ratio,12-02-2014,Graduate,Male,3063.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,222079.714285714,222079.714285714,0
Debt,Rita,Pune,Total cost ratio,13-02-2014,Graduate,Male,3065.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,226996.285714285,226996.285714285,0
Debt,Mina,Pune,Total cost ratio,14-02-2014,Graduate,Male,3066.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,231912.857142857,231912.857142857,0
Debt,Rushi,Pune,Total cost ratio,15-02-2014,Graduate,Male,3068.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,236829.428571428,236829.428571428,0
Debt,Krishna,Pune,Total cost ratio,16-02-2014,Graduate,Male,3069.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,241746,241746,0
Debt,Gita,Pune,Total cost ratio,17-02-2014,Graduate,Male,3071.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,246662.571428571,246662.571428571,0
Debt,Rushi,Pune,Total cost ratio,18-02-2014,Graduate,Male,3072.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,251579.142857143,251579.142857143,0
Debt,Krishna,Pune,Total cost ratio,19-02-2014,Graduate,Male,3074.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,256495.714285714,256495.714285714,0
Debt,Gita,Pune,Total cost ratio,20-02-2014,Graduate,Male,3075.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,261412.285714285,261412.285714285,0
Debt,Puja,Pune,Total cost ratio,21-02-2014,Graduate,Male,3077.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,266328.857142857,266328.857142857,0
Debt,Sheela,Pune,Total cost ratio,22-02-2014,Graduate,Male,3078.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,271245.428571428,271245.428571428,0
Debt,Rita,Pune,Total cost ratio,23-02-2014,Graduate,Male,3080.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,276162,276162,0
Debt,Mina,Pune,Total cost ratio,24-02-2014,Graduate,Male,3081.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,281078.571428571,281078.571428571,0
Debt,Rushi,Pune,Total cost ratio,25-02-2014,Graduate,Male,3083.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,285995.142857143,285995.142857143,0
Debt,Krishna,Pune,Total cost ratio,26-02-2014,Graduate,Male,3084.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,290911.714285714,290911.714285714,0
Debt,Gita,Pune,Total cost ratio,27-02-2014,Graduate,Male,3086.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,295828.285714285,295828.285714285,0
Debt,Puja,Pune,Total cost ratio,28-02-2014,Graduate,Male,3087.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,300744.857142857,300744.857142857,0
Debt,Sheela,Pune,Total cost ratio,01-03-2014,Graduate,Male,3089.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,305661.428571428,305661.428571428,0
Debt,Rita,Pune,Total cost ratio,02-03-2014,Graduate,Male,3090.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,310578,310578,0
Debt,Mina,Pune,Total cost ratio,03-03-2014,Graduate,Male,3092.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,315494.571428571,315494.571428571,0
Debt,Rushi,Pune,Total cost ratio,04-03-2014,Graduate,Male,3093.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,320411.142857143,320411.142857143,0
Debt,Krishna,Pune,Total cost ratio,05-03-2014,Graduate,Male,3095.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,325327.714285714,325327.714285714,0
Debt,Gita,Pune,Total cost ratio,06-03-2014,Graduate,Male,3096.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,330244.285714285,330244.285714285,0
Debt,Puja,Pune,Total cost ratio,07-03-2014,Graduate,Male,3098.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,335160.857142857,335160.857142857,0
Debt,Sheela,Pune,Total cost ratio,08-03-2014,Graduate,Male,3099.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,340077.428571428,340077.428571428,0
Debt,Rita,Pune,Total cost ratio,09-03-2014,Graduate,Male,3101.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,344994,344994,0
Debt,Mina,Pune,Total cost ratio,10-03-2014,Graduate,Male,3102.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,349910.571428571,349910.571428571,0
Debt,Rushi,Pune,Total cost ratio,11-03-2014,Graduate,Male,3104.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,354827.142857143,354827.142857143,0
Debt,Krishna,Pune,Total cost ratio,12-03-2014,Graduate,Male,3105.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,359743.714285714,359743.714285714,0
Debt,Gita,Pune,Total cost ratio,13-03-2014,Graduate,Male,3107.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,364660.285714285,364660.285714285,0
Debt,Rushi,Pune,Total cost ratio,14-03-2014,Graduate,Male,3108.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,369576.857142857,369576.857142857,0
Debt,Krishna,Pune,Total cost ratio,15-03-2014,Graduate,Male,3110.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,374493.428571428,374493.428571428,0
Debt,Gita,Pune,Total cost ratio,16-03-2014,Graduate,Male,3111.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,379410,379410,0
Debt,Puja,Pune,Total cost ratio,17-03-2014,Graduate,Male,3113.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,384326.571428571,384326.571428571,0
Debt,Sheela,Pune,Total cost ratio,18-03-2014,Graduate,Male,3114.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,389243.142857143,389243.142857143,0
Debt,Rita,Pune,Total cost ratio,19-03-2014,Graduate,Male,3116.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,394159.714285714,394159.714285714,0
Debt,Mina,Pune,Total cost ratio,20-03-2014,Graduate,Male,3117.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,399076.285714285,399076.285714285,0
Debt,Rushi,Pune,Total cost ratio,21-03-2014,Graduate,Male,3119.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,403992.857142857,403992.857142857,0
Debt,Krishna,Pune,Total cost ratio,22-03-2014,Graduate,Male,3120.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,408909.428571428,408909.428571428,0
Debt,Gita,Pune,Total cost ratio,23-03-2014,Graduate,Male,3122.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,413826,413826,0
Debt,Puja,Pune,Total cost ratio,24-03-2014,Graduate,Male,3123.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,418742.571428571,418742.571428571,0
Debt,Sheela,Pune,Total cost ratio,25-03-2014,Graduate,Male,3125.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,423659.142857143,423659.142857143,0
Debt,Rita,Pune,Total cost ratio,26-03-2014,Graduate,Male,3126.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,428575.714285714,428575.714285714,0
Debt,Mina,Pune,Total cost ratio,27-03-2014,Graduate,Male,3128.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,433492.285714285,433492.285714285,0
Debt,Rushi,Pune,Total cost ratio,28-03-2014,Graduate,Male,3129.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,438408.857142857,438408.857142857,0
Debt,Krishna,Pune,Total cost ratio,29-03-2014,Graduate,Male,3131.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,443325.428571428,443325.428571428,0
Debt,Gita,Pune,Total cost ratio,30-03-2014,Graduate,Male,3132.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,448242,448242,0
Debt,Puja,Pune,Total cost ratio,31-03-2014,Graduate,Male,3134.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,453158.571428571,453158.571428571,0
Debt,Sheela,Pune,Total cost ratio,01-04-2014,Graduate,Male,3135.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,458075.142857143,458075.142857143,0
Debt,Rita,Pune,Total cost ratio,02-04-2014,Graduate,Male,3137.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,462991.714285714,462991.714285714,0
Debt,Mina,Pune,Total cost ratio,03-04-2014,Graduate,Male,3138.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,467908.285714285,467908.285714285,0
Debt,Rushi,Pune,Total cost ratio,04-04-2014,Graduate,Male,3140.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,472824.857142857,472824.857142857,0
Debt,Krishna,Pune,Total cost ratio,05-04-2014,Graduate,Male,3141.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,477741.428571428,477741.428571428,0
Debt,Gita,Pune,Total cost ratio,06-04-2014,Graduate,Male,3143.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,482658,482658,0
Debt,Rushi,Pune,Total cost ratio,07-04-2014,Graduate,Male,3144.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,487574.571428571,487574.571428571,0
Debt,Krishna,Pune,Total cost ratio,08-04-2014,Graduate,Male,3146.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,492491.142857143,492491.142857143,0
Debt,Gita,Pune,Total cost ratio,09-04-2014,Graduate,Male,3147.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,497407.714285714,497407.714285714,0
Debt,Puja,Pune,Total cost ratio,10-04-2014,Graduate,Male,3149.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,502324.285714285,502324.285714285,0
Debt,Sheela,Pune,Total cost ratio,11-04-2014,Graduate,Male,3150.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,507240.857142857,507240.857142857,0
Debt,Rita,Pune,Total cost ratio,12-04-2014,Graduate,Male,3152.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,512157.428571428,512157.428571428,0
Debt,Mina,Pune,Total cost ratio,13-04-2014,Graduate,Male,3153.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,517074,517074,0
Debt,Rushi,Pune,Total cost ratio,14-04-2014,Graduate,Male,3155.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,521990.571428571,521990.571428571,0
Debt,Krishna,Pune,Total cost ratio,15-04-2014,Graduate,Male,3156.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,526907.142857143,526907.142857143,0
Debt,Gita,Pune,Total cost ratio,16-04-2014,Graduate,Male,3158.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,531823.714285714,531823.714285714,0
Debt,Puja,Pune,Total cost ratio,17-04-2014,Graduate,Male,3159.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,536740.285714285,536740.285714285,0
Debt,Sheela,Pune,Total cost ratio,18-04-2014,Graduate,Male,3161.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,541656.857142857,541656.857142857,0
Debt,Rita,Pune,Total cost ratio,19-04-2014,Graduate,Male,3162.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,546573.428571428,546573.428571428,0
Debt,Mina,Pune,Total cost ratio,20-04-2014,Graduate,Male,3164.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,551490,551490,0
Debt,Rushi,Pune,Total cost ratio,21-04-2014,Graduate,Male,3165.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,556406.571428571,556406.571428571,0
Debt,Krishna,Pune,Total cost ratio,22-04-2014,Graduate,Male,3167.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,561323.142857143,561323.142857143,0
Debt,Gita,Pune,Total cost ratio,23-04-2014,Graduate,Male,3168.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,566239.714285714,566239.714285714,0
Debt,Puja,Pune,Total cost ratio,24-04-2014,Graduate,Male,3170.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,571156.285714285,571156.285714285,0
Debt,Sheela,Pune,Total cost ratio,25-04-2014,Graduate,Male,3171.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,576072.857142857,576072.857142857,0
Debt,Rita,Pune,Total cost ratio,26-04-2014,Graduate,Male,3173.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,580989.428571428,580989.428571428,0
Debt,Mina,Pune,Total cost ratio,27-04-2014,Graduate,Male,3174.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,585906,585906,0
Debt,Rushi,Pune,Total cost ratio,28-04-2014,Graduate,Male,3176.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,590822.571428571,590822.571428571,0
Debt,Krishna,Pune,Total cost ratio,29-04-2014,Graduate,Male,3177.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,595739.142857143,595739.142857143,0
Debt,Gita,Pune,Total cost ratio,30-04-2014,Graduate,Male,3179.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,600655.714285714,600655.714285714,0
Debt,Rushi,Pune,Total cost ratio,01-05-2014,Graduate,Male,3180.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,605572.285714285,605572.285714285,0
Debt,Krishna,Pune,Total cost ratio,02-05-2014,Graduate,Male,3182.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,610488.857142857,610488.857142857,0
Debt,Gita,Pune,Total cost ratio,03-05-2014,Graduate,Male,3183.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,615405.428571428,615405.428571428,0
Debt,Puja,Pune,Total cost ratio,04-05-2014,Graduate,Male,3185.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,620322,620322,0
Debt,Sheela,Pune,Total cost ratio,05-05-2014,Graduate,Male,3186.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,625238.571428571,625238.571428571,0
Debt,Rita,Pune,Total cost ratio,06-05-2014,Graduate,Male,3188.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,630155.142857143,630155.142857143,0
Debt,Mina,Pune,Total cost ratio,07-05-2014,Graduate,Male,3189.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,635071.714285714,635071.714285714,0
Debt,Rushi,Pune,Total cost ratio,08-05-2014,Graduate,Male,3191.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,639988.285714285,639988.285714285,0
Debt,Krishna,Pune,Total cost ratio,09-05-2014,Graduate,Male,3192.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Retail,Investors,15,0,644904.857142857,644904.857142857,0
